doc_id,genre,speaker,family,n_nominal,n_variant,n_distributive,nominal_forms
2025-06-09_MOU_NVIDIA_AISkills,MOU,DSIT_and_NVIDIA,NVIDIA,0,0,0,
2025-06-09_MOU_NVIDIA_AIAdvancedConnectivity,MOU,DSIT_and_NVIDIA,NVIDIA,0,0,0,
2025-06_PRCO_NVIDIA_UKPartnership_,PRCO,NVIDIA,NVIDIA,0,0,0,
2025-10-23_PRGOV_MOJ_OpenAIDataHosting,PRGOV,DSIT,OpenAI,0,0,0,
2025-12-18_STRAT_GDS_DataAIEthicsFramework,STRAT,DSIT,None,1,6,2,public good
2025-01-13_WMS_DSIT_AIActionPlanMinisterialStatement,WMS,DSIT,None,0,0,3,
2026-06-08_PRGOV_DSIT_AIAdoptionSummitPartnerships,PRGOV,DSIT,Anthropic,0,0,1,
2025-06-02_WMS_DSIT_CrossGovernmentAIExperiment,WMS,DSIT,None,2,0,2,ai for public good; public good
2024-07-26_WMS_DSIT_AIActionPlanCommissioning,WMS,DSIT,None,0,0,1,
2024-02-06_WMS_DSIT_AIRegulationGovResponse,WMS,DSIT,Anthropic,0,1,0,
2025-02-07_BLOG_GDS_ShapingDigitalCentre_,BLOG,GDS,None,0,0,0,
2025-11-07_BLOG_TechInGov_SourcingStack_,BLOG,DSIT,None,0,0,0,
2026-04-15_BLOG_GDS_GDSLocalFoundations_,BLOG,GDS,None,0,0,0,
2026-01-21_BLOG_GDS_DigitalWalletReality_,BLOG,GDS,None,0,0,0,
2025-10-03_BLOG_CDDO_AISummitResearch_,BLOG,DSIT,None,3,0,0,public good; the public good
2025-03-27_BLOG_CDDO_UserResearchAI_,BLOG,DSIT,None,0,0,0,
2025-03-10_BLOG_CDDO_ResponsibleAIFrameworks_,BLOG,DSIT,None,0,1,0,
2026-07-02_BLOG_TechInGov_ResponsibleAICloudEvent_,BLOG,DSIT,None,0,0,0,
2025-07-16_BLOG_CDDO_ResponsibleAIAdvisoryPanel_,BLOG,DSIT,None,3,0,0,ai for the public good; public good; the public good
2025-09-22_BLOG_CDDO_TestAssureAI_,BLOG,DSIT,None,0,0,0,
2025-05-27_BLOG_DataInGov_ResponsibleAIHR_,BLOG,DSIT,None,0,0,0,
2025-12-18_BLOG_DataInGov_DataAIEthicsFramework_,BLOG,DSIT,Cohere,0,0,0,
2025-02-18_BLOG_TechInGov_CloudFirst12_,BLOG,DSIT,None,0,0,0,
2025-11-24_BLOG_GDS_GDSLocalGoesLive_,BLOG,GDS,None,0,0,0,
2026-05-15_BLOG_InsideGOVUK_DevelopingChat_,BLOG,DSIT,Anthropic,0,0,0,
2025-05-06_BLOG_CDDO_BlueprintHackathonLeeds_,BLOG,DSIT,None,0,0,0,
2025-03-07_BLOG_GDS_VisualisingModernDigitalGov_,BLOG,GDS,None,0,0,0,
